coords,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.74379', '37.64798')",5,14,226,452,1452,1891
"('55.753038', '37.635')",3,17,277,474,1457,1973
"('55.764475', '37.642869')",11,28,225,488,1395,1979
"('55.7472878', '37.6227971')",3,13,294,474,1532,1920
"('55.754091', '37.642204')",6,23,237,498,1417,1972
"('55.746081', '37.646202')",5,15,238,457,1456,1902
"('55.746204', '37.636436')",5,16,258,481,1471,1935
"('55.744363', '37.63888')",7,13,263,461,1476,1921
"('55.749405', '37.66141')",5,10,223,409,1447,1809
"('55.772689', '37.613216')",7,46,275,457,1453,1998
"('55.736736', '37.674667')",14,34,173,328,1470,1702
"('55.723252', '37.563521')",6,16,138,448,1680,1541
"('55.790084', '37.582709')",6,27,254,438,1503,1750
"('55.738399', '37.629691')",9,30,238,472,1495,1902
"('55.768785', '37.629601')",14,24,268,468,1436,1998
"('55.744885', '37.624876')",4,16,283,478,1513,1931
"('55.677829', '37.682449')",9,12,74,203,1145,1557
"('55.681286', '37.669666')",8,11,87,209,1235,1568
"('55.688553', '37.687542')",5,10,85,225,1214,1660
"('55.680557', '37.6714')",10,9,84,211,1215,1572
"('55.6826878', '37.6433842')",7,9,116,245,1389,1521
"('55.689451', '37.686707')",5,8,88,218,1227,1657
"('55.6794626', '37.6953989')",6,14,66,222,1082,1608
"('55.679255', '37.678146')",8,15,73,207,1169,1580
"('55.688862', '37.684416')",5,6,93,206,1242,1640
"('55.679726', '37.70533')",2,10,66,231,1022,1583
"('55.676971', '37.671301')",8,9,77,212,1201,1519
"('55.685686', '37.674651')",4,15,90,212,1240,1641
"('55.684396', '37.695519')",6,15,71,235,1126,1638
"('55.679661', '37.68659')",7,17,69,219,1123,1600
"('55.6864418', '37.6999755')",5,8,78,238,1130,1636
"('55.6857222', '37.6997289')",6,8,78,237,1120,1641
"('55.677671', '37.666225')",8,8,83,208,1235,1503
"('55.6745081', '37.6905715')",6,9,75,195,1068,1534
"('55.717741', '37.675217')",6,19,143,323,1406,1732
"('55.71378', '37.677122')",7,8,143,323,1405,1703
"('55.736235', '37.671849')",16,25,189,324,1472,1724
"('55.737568', '37.631748')",12,22,242,456,1500,1894
"('55.680057', '37.672936')",10,11,77,214,1199,1577
"('55.676994', '37.69323')",6,12,71,215,1065,1573
"('55.667736', '37.652445')",3,3,77,233,1175,1485
"('55.68794', '37.687218')",5,11,83,228,1214,1653
"('55.680194', '37.639312')",8,6,122,248,1373,1519
"('55.677539', '37.634398')",6,6,124,259,1347,1538
"('55.682935', '37.64542')",7,10,110,244,1379,1524
"('55.709028', '37.620761')",6,19,155,359,1596,1718
"('55.669249', '37.568192')",12,20,194,248,1198,1760
"('55.590282', '37.445725')",4,6,33,60,553,700
"('55.575169', '37.476734')",7,14,39,82,429,727
"('55.519519', '37.39603')",4,0,11,15,173,277
"('55.591915', '37.457537')",6,6,31,68,579,709
"('55.574548', '37.487424')",5,13,40,98,416,759
"('55.5539909', '37.4633573')",4,0,64,49,309,613
"('55.518041', '37.343802')",2,3,11,23,66,303
"('55.531992', '37.384691')",2,1,10,29,161,359
"('55.567214', '37.480265')",6,12,52,72,378,720
"('55.574839', '37.477085')",7,15,39,83,424,730
"('55.592637', '37.461122')",5,4,31,74,582,715
"('55.533435', '37.376411')",2,1,14,22,163,346
"('55.591599', '37.42916')",6,1,27,63,509,712
"('55.517549', '37.3960797')",4,0,11,14,170,268
"('55.5163525', '37.3473271')",2,5,12,20,74,293
"('55.570624', '37.4872')",9,11,43,95,375,777
"('55.567214', '37.479385')",5,13,51,73,376,720
"('55.591793', '37.454861')",7,5,33,64,576,708
"('55.5179916', '37.3940623')",4,0,12,15,168,268
"('55.555031', '37.46732')",4,0,66,50,316,628
"('55.502523', '37.322521')",2,0,12,5,42,216
"('55.577566', '37.48269')",8,7,43,84,451,737
"('55.569571', '37.491575')",8,9,46,102,362,782
"('55.59078', '37.427435')",6,0,27,61,498,717
"('55.5766086', '37.481569')",8,9,42,85,440,737
"('55.5776617', '37.478889')",7,5,42,86,446,732
"('55.591498', '37.447295')",5,7,33,65,565,702
"('55.519152', '37.392499')",4,0,12,15,170,269
"('55.509441', '37.338277')",3,2,10,23,36,276
"('55.5792254', '37.4810338')",5,5,42,86,469,729
"('55.5782812', '37.4827046')",5,7,42,87,454,744
"('55.7684938', '37.6540297')",9,25,201,458,1382,1885
"('55.782152', '37.662973')",8,13,184,390,1407,1662
"('55.776877', '37.659371')",2,22,187,432,1375,1777
"('55.782947', '37.659182')",7,10,191,400,1418,1670
"('55.771317', '37.655346')",5,17,197,458,1373,1865
"('55.777616', '37.66097')",3,20,189,423,1383,1754
"('55.784288', '37.657476')",6,11,192,396,1429,1656
"('55.78115', '37.667087')",5,20,172,391,1386,1668
"('55.7817272', '37.6659454')",8,17,178,382,1400,1654
"('55.772175', '37.659874')",3,23,192,444,1378,1813
"('55.646426', '37.494836')",8,12,149,189,880,1293
"('55.625491', '37.504834')",4,9,90,116,882,1041
"('55.651186', '37.483095')",4,22,123,217,871,1315
"('55.628241', '37.506487')",6,6,100,124,879,1089
"('55.647854', '37.495779')",7,14,152,186,905,1315
"('55.630146', '37.507924')",6,8,103,145,865,1135
"('55.628495', '37.504762')",5,6,100,127,873,1092
"('55.644694', '37.493973')",7,11,146,174,880,1259
"('55.649251', '37.484406')",6,20,123,208,867,1290
"('55.84368', '37.547306')",7,3,96,286,1150,1243
"('55.840629', '37.529852')",3,9,117,281,1152,1241
"('55.837899', '37.537497')",2,10,110,289,1196,1269
"('55.8539585', '37.5058702')",7,13,134,187,966,1097
"('55.831833', '37.530535')",2,10,116,303,1232,1306
"('55.831875', '37.500443')",6,12,119,281,1094,1288
"('55.84678', '37.496964')",4,21,115,245,932,1214
"('55.841534', '37.542957')",6,5,105,293,1163,1257
"('55.841623', '37.489701')",14,17,119,245,954,1227
"('55.744237', '37.407591')",7,21,80,123,754,1538
"('55.799472', '37.488835')",7,8,199,248,1359,1383
"('55.849796', '37.523087')",4,1,145,212,1070,1117
"('55.813587', '37.46061')",5,14,89,302,970,1343
"('55.787958', '37.461337')",11,23,117,253,1231,1390
"('55.699781', '37.847487')",4,2,52,96,403,933
"('55.71255', '37.864517')",1,2,52,97,364,865
"('55.700557', '37.851799')",3,3,54,92,387,918
"('55.70056', '37.84617')",4,1,56,94,410,944
"('55.704747', '37.860495')",1,3,49,101,355,897
"('55.697351', '37.845044')",4,1,48,99,409,938
"('55.584416', '37.12755')",1,0,10,4,20,80
"('55.580345', '37.157851')",2,2,8,8,22,123
"('55.5077268', '37.2658543')",1,0,1,7,37,134
"('55.770775', '37.376626')",2,0,24,73,619,1225
"('55.7597798', '37.5166008')",16,20,197,422,1484,1666
"('55.619668', '37.761895')",2,5,71,97,363,931
"('55.61693', '37.755751')",5,15,65,94,366,927
"('55.6062176', '37.7327241')",7,10,69,88,400,872
"('55.609273', '37.759632')",5,7,66,65,326,794
"('55.60844', '37.756622')",5,8,66,65,331,800
"('55.617775', '37.754177')",5,14,72,91,383,936
"('55.613336', '37.701008')",2,7,81,121,483,1072
"('55.610645', '37.75535')",7,10,70,71,343,830
"('55.616051', '37.753901')",8,13,75,81,380,911
"('55.610157', '37.74793')",6,16,69,72,374,846
"('55.622243', '37.733635')",8,11,106,91,487,1002
"('55.618689', '37.745034')",9,16,83,86,451,922
"('55.607941', '37.752374')",7,9,70,59,359,780
"('55.614582', '37.746517')",9,13,81,75,414,903
"('55.604727', '37.715803')",7,18,58,121,408,965
"('55.610901', '37.71274')",5,13,68,127,428,1031
"('55.765463', '37.559847')",13,38,319,415,1600,1730
"('55.757288', '37.55681')",9,28,305,393,1687,1632
"('55.767722', '37.565964')",27,17,346,408,1579,1775
"('55.76154', '37.554214')",12,24,321,394,1650,1668
"('55.7673304', '37.5727194')",21,39,331,435,1550,1838
"('55.766329', '37.557861')",9,36,312,428,1586,1734
"('55.76018', '37.554897')",13,22,321,388,1659,1659
"('55.76246', '37.567554')",17,35,326,416,1609,1763
"('55.7602553', '37.5648602')",10,33,322,396,1651,1713
"('55.763984', '37.567482')",22,32,332,418,1591,1783
"('55.789922', '37.677885')",7,10,137,344,1362,1535
"('55.7812', '37.670967')",5,24,161,383,1377,1648
"('55.7889', '37.669369')",6,17,154,362,1402,1563
"('55.785286', '37.67969')",6,16,137,353,1366,1578
"('55.791206', '37.6723')",6,11,149,344,1387,1531
"('55.791098', '37.675892')",7,9,145,337,1369,1530
"('55.783266', '37.675738')",5,24,144,377,1368,1613
"('55.78774', '37.673096')",8,13,145,357,1379,1579
"('55.78', '37.69993')",5,18,145,290,1333,1486
"('55.764425', '37.65214')",19,21,218,446,1426,1858
"('55.759881', '37.642159')",13,25,235,490,1399,1985
"('55.763355', '37.646793')",16,28,218,478,1402,1936
"('55.766511', '37.648295')",14,26,214,467,1391,1934
"('55.764764', '37.65116')",15,25,213,457,1413,1880
"('55.7651089', '37.6555295')",16,20,211,436,1411,1847
"('55.761923', '37.649633')",18,27,214,470,1410,1906
"('55.762505', '37.649651')",21,24,214,468,1414,1897
"('55.765949', '37.654224')",13,23,206,450,1396,1876
"('55.764101', '37.66044')",10,25,204,425,1422,1806
"('55.761558', '37.647298')",17,31,213,479,1407,1932
"('55.81244', '37.532196')",12,14,169,306,1398,1395
"('55.8098133', '37.5337395')",13,18,173,317,1417,1407
"('55.803833', '37.526123')",10,35,187,371,1390,1489
"('55.799932', '37.491907')",6,15,200,264,1355,1407
"('55.795226', '37.515263')",9,20,210,359,1424,1516
"('55.808674', '37.531666')",15,16,183,319,1411,1418
"('55.805817', '37.5289')",15,27,189,342,1402,1458
"('55.805002', '37.526618')",9,33,182,363,1384,1482
"('55.81152', '37.52616')",6,24,155,331,1352,1437
"('55.808178', '37.5327')",17,13,189,317,1425,1417
"('55.588649', '37.604448')",12,6,66,99,594,859
"('55.603303', '37.622073')",4,3,85,105,702,948
"('55.59546', '37.615542')",1,11,67,111,632,888
"('55.60078', '37.606136')",4,12,58,140,687,936
"('55.59224', '37.598447')",11,12,52,119,627,885
"('55.599423', '37.605167')",6,9,59,138,682,925
"('55.590267', '37.595869')",10,9,61,106,612,879
"('55.601549', '37.620896')",4,5,79,114,673,946
"('55.598039', '37.586733')",7,8,64,112,699,899
"('55.599138', '37.584137')",7,4,70,105,714,896
"('55.59137', '37.652634')",7,6,49,106,469,904
"('55.740289', '37.658796')",5,25,222,396,1464,1805
"('55.735824', '37.653469')",9,15,225,384,1497,1812
"('55.718557', '37.647908')",5,18,224,288,1593,1712
"('55.739073', '37.669091')",15,20,203,352,1466,1745
"('55.711767', '37.643345')",8,12,192,301,1581,1699
"('55.738176', '37.653173')",9,15,228,407,1482,1832
"('55.733827', '37.653604')",9,11,231,358,1522,1784
"('55.73581', '37.65939')",9,24,215,368,1487,1786
"('55.7116', '37.640327')",8,10,196,299,1594,1707
"('55.721264', '37.653873')",7,10,226,277,1594,1695
"('55.737248', '37.675172')",14,29,179,320,1478,1684
"('55.710332', '37.643129')",8,10,186,298,1573,1706
"('55.731262', '37.666036')",11,38,185,334,1472,1771
"('55.727384', '37.652382')",1,20,223,325,1562,1744
"('55.73644', '37.673546')",15,29,181,320,1478,1699
"('55.73348', '37.660126')",8,29,209,361,1471,1797
"('55.73889', '37.66663')",13,26,201,368,1463,1760
"('55.7226109', '37.6458793')",5,15,226,315,1598,1735
"('55.749588', '37.589745')",27,31,299,446,1637,1828
"('55.7415784', '37.5864977')",17,27,256,429,1695,1711
"('55.74224', '37.585035')",17,28,262,433,1694,1703
"('55.7385165', '37.588639')",14,23,243,437,1694,1702
"('55.760414', '37.40652')",6,10,51,154,781,1478
"('55.747566', '37.407645')",6,14,69,143,729,1570
"('55.757009', '37.411472')",7,11,58,179,776,1555
"('55.763209', '37.410583')",9,11,44,170,812,1474
"('55.754289', '37.409352')",6,14,60,171,743,1564
"('55.765789', '37.4098294')",8,7,42,162,827,1440
"('55.765635', '37.405471')",5,9,34,153,790,1423
"('55.755642', '37.40946')",5,13,58,175,755,1561
"('55.761796', '37.410026')",7,11,48,175,795,1505
"('55.770056', '37.410879')",5,5,35,162,848,1415
"('55.750368', '37.413601')",5,14,65,172,767,1586
"('55.745787', '37.426303')",4,14,96,175,897,1578
"('55.743573', '37.396515')",4,7,80,97,710,1483
"('55.7355823', '37.4076525')",9,19,110,94,809,1467
"('55.7225556', '37.4288862')",14,17,138,146,964,1498
"('55.801197', '37.3978')",3,14,29,119,738,1069
"('55.71104', '37.39654')",8,12,63,122,708,1322
"('55.731693', '37.45389')",5,16,144,252,1157,1566
"('55.736615', '37.466009')",5,14,107,335,1233,1587
"('55.740223', '37.475109')",4,12,101,359,1281,1592
"('55.772416', '37.473024')",19,12,137,277,1252,1580
"('55.809925', '37.412487')",4,16,48,155,744,1164
"('55.736855', '37.408714')",11,17,107,98,812,1477
"('55.732986', '37.425405')",5,19,136,117,972,1480
"('55.760545', '37.410969')",6,10,51,177,796,1525
"('55.743512', '37.422099')",6,17,99,155,880,1552
"('55.7417592', '37.4025916')",6,17,85,102,751,1500
"('55.7874823', '37.3596301')",1,0,11,50,526,950
"('55.755003', '37.405435')",6,13,58,154,721,1541
"('55.769955', '37.41777')",3,5,44,170,900,1422
"('55.741323', '37.417733')",13,17,101,139,847,1548
"('55.770897', '37.37809')",2,0,24,74,623,1239
"('55.746122', '37.405094')",5,17,67,130,721,1553
"('55.7602', '37.416477')",6,10,54,197,812,1554
"('55.7505', '37.405155')",5,14,65,143,719,1540
"('55.741946', '37.411912')",8,25,87,130,798,1543
"('55.744308', '37.419521')",7,19,90,157,849,1563
"('55.767616', '37.41175')",7,6,38,164,837,1440
"('55.75896', '37.419476')",2,11,56,210,813,1587
"('55.739544', '37.415047')",14,19,104,117,844,1534
"('55.7414918', '37.4195197')",13,14,108,141,868,1540
"('55.743461', '37.395563')",4,6,80,95,701,1486
"('55.74388', '37.413673')",7,25,84,143,802,1557
"('55.678118', '37.603514')",6,14,145,287,1352,1697
"('55.686985', '37.589733')",9,20,148,310,1447,1700
"('55.7040368', '37.6132897')",6,14,158,343,1583,1682
"('55.682108', '37.594135')",12,19,146,307,1399,1713
"('55.7038995', '37.6133851')",6,14,157,345,1581,1684
"('55.6897837', '37.5926883')",9,20,150,306,1481,1679
"('55.675666', '37.592797')",7,21,158,273,1297,1727
"('55.680889', '37.595932')",10,22,145,299,1386,1709
"('55.68331', '37.588593')",13,19,159,296,1408,1717
"('55.678138', '37.594953')",10,20,147,281,1344,1720
"('55.6852941', '37.5919965')",13,16,155,294,1453,1685
"('55.681407', '37.584137')",9,23,165,296,1366,1733
"('55.679925', '37.598573')",11,18,147,296,1370,1708
"('55.765113', '37.615237')",12,35,314,435,1514,2004
"('55.761674', '37.651035')",20,23,215,458,1413,1890
"('55.76002', '37.64115')",12,27,240,487,1400,1993
"('55.716281', '37.769458')",2,13,125,153,929,1308
"('55.706293', '37.771544')",9,19,110,156,854,1333
"('55.7016731', '37.810541')",6,11,74,149,576,1147
"('55.713025', '37.751367')",8,11,118,175,968,1428
"('55.70913', '37.789375')",9,13,104,167,733,1263
"('55.707339', '37.785656')",9,17,102,169,741,1285
"('55.708694', '37.791378')",9,9,105,167,716,1261
"('55.721779', '37.73757')",7,24,99,247,1099,1461
"('55.712558', '37.741172')",3,17,100,217,1021,1472
"('55.697549', '37.753901')",2,15,107,187,873,1444
"('55.711022', '37.774825')",4,21,112,157,854,1316
"('55.710236', '37.78581')",10,13,106,165,766,1273
"('55.707554', '37.791225')",10,9,102,169,709,1266
"('55.700836', '37.791954')",6,12,93,177,658,1271
"('55.7013325', '37.8085481')",6,5,83,146,589,1157
"('55.703048', '37.752652')",6,14,123,174,905,1453
"('55.719551', '37.733796')",10,16,105,247,1128,1478
"('55.7155', '37.734074')",9,9,106,240,1097,1497
"('55.682864', '37.854225')",4,7,15,79,410,709
"('55.7131028', '37.9460569')",3,3,32,23,153,425
"('55.69585', '37.745377')",6,6,108,196,914,1499
"('55.759068', '37.804413')",6,5,61,149,725,1116
"('55.720626', '37.736393')",6,26,99,254,1098,1478
"('55.713826', '37.750712')",8,8,125,171,981,1421
"('55.716671', '37.751071')",8,6,124,176,991,1414
"('55.704727', '37.745304')",5,14,117,194,936,1505
"('55.709703', '37.773442')",6,21,109,155,861,1319
"('55.727455', '37.45036')",6,18,150,211,1142,1536
"('55.718816', '37.426186')",12,19,128,153,916,1480
"('55.7003333', '37.3947427')",1,2,41,137,643,1271
"('55.7226001', '37.4354938')",9,22,146,154,1014,1505
"('55.7100596', '37.3993136')",9,10,65,132,711,1345
"('55.716174', '37.441413')",9,18,152,175,1035,1499
"('55.7234715', '37.433165')",12,18,148,146,996,1505
"('55.718032', '37.496631')",4,15,166,250,1496,1367
"('55.72001', '37.442623')",6,28,142,186,1045,1522
"('55.73111', '37.452678')",5,14,146,240,1150,1564
"('55.720489', '37.450987')",12,13,153,193,1120,1495
"('55.717281', '37.414025')",7,21,104,138,811,1436
"('55.72124', '37.426556')",12,20,128,148,931,1489
"('55.728124', '37.452067')",6,19,147,220,1155,1536
"('55.73701', '37.435178')",5,9,142,153,1052,1513
"('55.729554', '37.43446')",3,18,141,151,1026,1507
"('55.726244', '37.467536')",9,18,147,254,1310,1470
"('55.723967', '37.437173')",7,25,142,160,1022,1524
"('55.725555', '37.463825')",6,25,136,242,1282,1472
"('55.724271', '37.44691')",9,19,150,187,1103,1509
"('55.724754', '37.434647')",9,19,146,149,1013,1503
"('55.724007', '37.45476')",12,14,149,216,1184,1510
"('55.721949', '37.426977')",11,21,130,148,937,1489
"('55.722588', '37.452103')",9,15,146,208,1140,1511
"('55.7140074', '37.4342459')",8,16,139,173,950,1486
"('55.735657', '37.432537')",5,13,142,143,1026,1502
"('55.7068658', '37.3981247')",5,10,54,137,703,1316
"('55.728576', '37.434325')",4,18,144,150,1026,1499
"('55.7181046', '37.3990861')",6,19,82,112,722,1387
"('55.722421', '37.425468')",10,22,128,145,927,1485
"('55.7573', '37.65146')",12,32,216,462,1416,1884
"('55.759755', '37.655023')",11,33,218,446,1416,1864
"('55.7642819', '37.6599564')",11,23,206,421,1426,1805
"('55.752911', '37.655688')",5,21,219,447,1433,1860
"('55.761305', '37.65629')",15,25,217,435,1426,1832
"('55.7533075', '37.6688339')",4,14,217,384,1454,1747
"('55.755353', '37.668615')",3,14,215,391,1450,1766
"('55.7642852', '37.659961')",11,23,206,422,1425,1806
"('55.751903', '37.664069')",5,12,221,408,1446,1787
"('55.763032', '37.657808')",15,24,211,426,1429,1817
"('55.644882', '37.702679')",4,6,60,209,725,1325
"('55.650866', '37.71512')",5,11,64,203,764,1292
"('55.645121', '37.718911')",9,9,88,187,695,1221
"('55.644196', '37.722794')",8,10,95,177,679,1178
"('55.646015', '37.722999')",9,10,91,179,692,1198
"('55.645866', '37.716206')",8,12,71,206,703,1244
"('55.64761', '37.720223')",9,11,80,191,707,1238
"('55.7567884', '37.780454')",7,6,51,218,822,1288
"('55.74833', '37.797054')",6,14,65,165,806,1135
"('55.75141', '37.78573')",3,13,53,211,805,1269
"('55.75918', '37.796986')",8,5,56,169,743,1200
"('55.744476', '37.79976')",9,4,92,128,839,1080
"('55.74419', '37.803318')",7,7,89,126,819,1060
"('55.739878', '37.778847')",2,1,98,180,929,1212
"('55.740973', '37.78253')",2,3,88,182,905,1195
"('55.763126', '37.78561')",1,11,47,204,759,1296
"('55.748113', '37.796445')",6,13,69,160,813,1134
"('55.77836', '37.83774')",3,3,41,133,497,917
"('55.758114', '37.776008')",6,5,51,226,839,1305
"('55.7438104', '37.8026969')",7,7,90,127,821,1064
"('55.757885', '37.787785')",4,14,43,205,759,1278
"('55.748138', '37.785108')",3,6,72,192,851,1236
"('55.7471445', '37.8269653')",4,11,64,97,681,928
"('55.756356', '37.777931')",6,5,50,229,830,1304
"('55.746845', '37.826855')",4,11,65,93,687,924
"('55.75748', '37.77315')",6,2,55,228,869,1308
"('55.746292', '37.79104')",6,9,76,166,839,1181
"('55.74352', '37.799213')",7,5,90,135,838,1087
"('55.7584029', '37.795835')",7,8,56,175,744,1208
"('55.75805', '37.791206')",5,15,46,202,749,1261
"('55.75017', '37.794758')",5,17,55,184,783,1188
"('55.762642', '37.836447')",1,4,50,103,576,908
"('55.7406452', '37.5232682')",6,15,164,379,1603,1521
"('55.741399', '37.522099')",4,18,158,390,1580,1543
"('55.730786', '37.467949')",11,16,133,305,1294,1503
"('55.735434', '37.4726454')",8,16,106,341,1284,1568
"('55.737684', '37.521156')",12,4,169,354,1623,1482
"('55.735809', '37.525028')",11,11,162,358,1645,1463
"('55.735941', '37.527444')",10,12,163,362,1658,1459
"('55.741475', '37.535826')",7,23,174,399,1678,1484
"('55.7375835', '37.5163839')",6,11,159,346,1595,1487
"('55.737507', '37.518371')",9,8,165,346,1606,1488
"('55.73296', '37.538125')",2,16,155,394,1687,1450
"('55.736549', '37.526151')",11,10,163,361,1651,1466
"('55.736508', '37.522054')",12,5,165,352,1636,1461
"('55.735596', '37.519539')",11,9,158,343,1633,1448
"('55.7368186', '37.531715')",6,19,160,377,1678,1463
"('55.735393', '37.522117')",11,8,159,348,1647,1443
"('55.73926', '37.549363')",6,20,210,395,1737,1490
"('55.737725', '37.540721')",3,18,182,399,1702,1481
"('55.878536', '37.479115')",2,5,73,156,597,942
"('55.878576', '37.484298')",2,5,80,157,613,943
"('55.709698', '37.61238')",9,17,172,334,1621,1686
"('55.706203', '37.585727')",6,9,161,375,1550,1663
"('55.694758', '37.562191')",9,15,154,346,1426,1732
"('55.707852', '37.606685')",5,18,166,331,1611,1671
"('55.710809', '37.610404')",8,22,171,342,1601,1706
"('55.710327', '37.589347')",5,12,157,379,1581,1685
"('55.711087', '37.597675')",5,15,170,366,1593,1697
"('55.710692', '37.607448')",7,21,173,338,1615,1683
"('55.71286', '37.615856')",11,16,181,338,1619,1711
"('55.71305', '37.596228')",6,13,172,360,1604,1687
"('55.69107', '37.560188')",13,11,164,335,1386,1753
"('55.689563', '37.561949')",12,11,177,319,1389,1737
"('55.708663', '37.590255')",6,10,165,371,1580,1668
"('55.695047', '37.579391')",5,6,161,311,1498,1692
"('55.694246', '37.570573')",5,19,157,340,1440,1737
"('55.714405', '37.61018')",8,27,174,358,1606,1733
"('55.7100458', '37.6088908')",7,22,171,335,1614,1686
"('55.717842', '37.603163')",3,25,189,365,1608,1725
"('55.686375', '37.848045')",2,9,23,85,418,806
"('55.685947', '37.84607')",2,6,28,81,430,810
"('55.569064', '37.581953')",6,12,44,95,437,770
"('55.566247', '37.583787')",8,7,51,81,427,733
"('55.566063', '37.578469')",10,10,49,87,419,750
"('55.558641', '37.559308')",1,5,57,93,341,747
"('55.565855', '37.580346')",10,6,54,75,429,736
"('55.564969', '37.579672')",10,7,52,79,418,733
"('55.607316', '37.591503')",5,9,70,142,770,951
"('55.763275', '37.716927')",4,11,117,286,1311,1419
"('55.764886', '37.711617')",4,12,133,278,1353,1419
"('55.720923', '37.68843')",9,9,145,320,1321,1733
"('55.761154', '37.7025')",4,10,160,289,1404,1499
"('55.764465', '37.701978')",3,11,158,278,1411,1484
"('55.77192', '37.71317')",6,11,139,253,1335,1370
"('55.771818', '37.705185')",7,14,159,259,1381,1410
"('55.75825', '37.710548')",5,16,124,303,1355,1479
"('55.76227', '37.71203')",5,7,135,288,1355,1437
"('55.764755', '37.704197')",4,12,149,278,1401,1463
"('55.894248', '37.526124')",2,7,65,142,534,931
"('55.904887', '37.550765')",5,2,61,100,462,838
"('55.8882495', '37.5261675')",4,14,71,156,575,1008
"('55.906456', '37.55019')",4,3,57,91,460,810
"('55.883303', '37.53632')",7,12,95,169,655,1031
"('55.905068', '37.547926')",4,2,61,100,467,821
"('55.901056', '37.554753')",3,3,73,115,488,918
"('55.865642', '37.534658')",6,14,121,194,878,1094
"('55.84675', '37.582493')",6,7,99,233,1155,1232
"('55.854315', '37.410439')",4,16,64,130,513,949
"('55.889043', '37.54065')",5,12,87,142,609,996
"('55.892345', '37.541395')",5,5,86,129,576,988
"('55.884832', '37.526618')",7,8,92,158,636,987
"('55.893213', '37.539266')",5,6,81,133,561,981
"('55.89407', '37.53905')",4,5,80,131,546,976
"('55.888422', '37.527301')",4,16,71,158,569,1016
"('55.884292', '37.540147')",8,12,96,157,655,1033
"('55.841387', '37.547737')",6,4,90,302,1167,1269
"('55.843267', '37.544117')",5,5,103,284,1156,1240
"('55.844445', '37.562685')",4,8,83,283,1168,1237
"('55.840689', '37.548393')",6,4,89,304,1178,1274
"('55.843555', '37.553073')",5,5,88,292,1154,1244
"('55.732884', '37.483355')",4,20,127,317,1388,1504
"('55.779413', '37.513709')",8,16,239,388,1430,1621
"('55.779975', '37.615722')",7,20,278,441,1461,1910
"('55.804182', '37.750128')",5,8,140,146,863,1342
"('55.8083718', '37.7603483')",8,12,124,145,747,1334
"('55.803069', '37.762776')",3,22,124,159,773,1328
"('55.8051696', '37.7553')",8,8,136,145,809,1348
"('55.80585', '37.75117')",5,11,138,145,825,1364
"('55.8080481', '37.7591084')",9,11,130,144,757,1337
"('55.797066', '37.725382')",9,8,151,163,1142,1330
"('55.808412', '37.77087')",8,10,130,127,710,1252
"('55.811032', '37.772442')",4,14,120,129,677,1222
"('55.80817', '37.765533')",8,16,124,139,738,1272
"('55.8057205', '37.7538038')",7,9,138,142,817,1350
"('55.799372', '37.764455')",6,14,129,171,789,1324
"('55.797273', '37.727039')",8,7,153,161,1126,1331
"('55.82888', '37.56953')",1,11,83,341,1371,1267
"('55.785392', '37.63606')",14,13,235,393,1471,1764
"('55.79222', '37.61362')",3,11,263,375,1549,1693
"('55.776659', '37.823026')",4,4,64,124,557,1061
"('55.702901', '37.491251')",13,13,146,287,1295,1479
"('55.715601', '37.516413')",7,11,117,369,1533,1423
"('55.697933', '37.51253')",7,10,174,305,1376,1524
"('55.71518', '37.506612')",11,13,138,322,1484,1415
"('55.698211', '37.505475')",10,15,163,307,1329,1523
"('55.709906', '37.503846')",8,21,127,327,1406,1472
"('55.710707', '37.50778')",10,17,125,340,1436,1462
"('55.700689', '37.502795')",11,23,143,321,1333,1502
"('55.704905', '37.492114')",12,18,134,289,1325,1464
"('55.700983', '37.493479')",13,13,143,303,1282,1491
"('55.709429', '37.502983')",7,24,125,325,1393,1483
"('55.708946', '37.511913')",5,20,113,357,1422,1505
"('55.701846', '37.492177')",13,11,142,300,1281,1488
"('55.698285', '37.497872')",8,29,144,305,1287,1497
"('55.729008', '37.527283')",6,15,130,385,1619,1460
"('55.732742', '37.471991')",10,16,118,323,1298,1534
"('55.696453', '37.549022')",4,11,148,348,1471,1635
"('55.711108', '37.504708')",11,19,132,330,1427,1452
"('55.72778', '37.536438')",3,10,139,385,1680,1442
"('55.703038', '37.491287')",13,12,147,285,1299,1478
"('55.695195', '37.530229')",2,7,168,324,1394,1604
"('55.703921', '37.49029')",12,15,137,288,1296,1468
"('55.705665', '37.49109')",11,20,131,290,1321,1462
"('55.715469', '37.521111')",3,10,115,381,1556,1418
"('55.702728', '37.509685')",9,16,147,329,1384,1516
"('55.749962', '37.691215')",10,18,177,314,1446,1595
"('55.704823', '37.497495')",14,19,138,298,1352,1472
"('55.716171', '37.496692')",7,15,167,248,1472,1389
"('55.723592', '37.527256')",5,7,125,377,1631,1390
"('55.727394', '37.535754')",4,9,136,385,1674,1437
"('55.714206', '37.505355')",13,10,149,311,1471,1425
"('55.7016804', '37.4925216')",13,11,143,301,1283,1490
"('55.701648', '37.498644')",14,17,142,309,1316,1495
"('55.727278', '37.525522')",8,9,134,381,1619,1435
"('55.700039', '37.509028')",11,11,158,318,1372,1510
"('55.705488', '37.493344')",11,22,131,294,1337,1462
