author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price
Happiness in the house,real_estate_agent,https://www.cian.ru/rent/flat/307721290/,13,17,1,34.0,Очаково-Матвеевское,Очаковское шоссе,5к1,109999
Арбат Престиж,real_estate_agent,https://www.cian.ru/rent/flat/307721099/,21,31,1,36.0,Раменки, Лобачевского,120к1,110000
ID 82128869,homeowner,https://www.cian.ru/rent/flat/307716802/,8,32,1,34.0,Очаково-Матвеевское,Очаковское шоссе,5к4,99900
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307700306/,13,17,1,34.0,Очаково-Матвеевское,Очаковское шоссе,5к1,110000
ID 90374476,unknown,https://www.cian.ru/rent/flat/307680902/,7,18,1,40.0,Очаково-Матвеевское, Наташи Ковшовой,23,70000
Дарья Хлыстова,realtor,https://www.cian.ru/rent/flat/307677261/,29,43,1,33.0,Раменки, Василия Ланового,1к2,100000
Захар Холостов,realtor,https://www.cian.ru/rent/flat/307670938/,13,29,1,42.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,120000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307661693/,34,35,1,34.0,Раменки, Василия Ланового,1к2,95000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307636546/,5,33,1,38.0,Очаково-Матвеевское,Очаковское шоссе,5к4,95000
ID 82481176,unknown,https://www.cian.ru/rent/flat/307613887/,16,32,1,42.0,Раменки, Лобачевского,120к1,120000
Евгения Марковская,realtor,https://www.cian.ru/rent/flat/307577791/,6,30,1,32.0,Очаково-Матвеевское,Очаковское шоссе,5к1,100000
ID 26558494,homeowner,https://www.cian.ru/rent/flat/307569971/,5,33,1,38.0,Очаково-Матвеевское,Очаковское шоссе,5к4,95000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307563342/,36,43,1,28.0,Раменки, Василия Ланового,1к1,100000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307542918/,13,17,1,34.0,Очаково-Матвеевское,Очаковское шоссе,5к1,117000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307522550/,36,43,1,28.0,Раменки, Василия Ланового,1к1,100000
ID 136022,unknown,https://www.cian.ru/rent/flat/307520693/,15,25,1,50.0,Раменки, Лобачевского,118к2,85900
ЛендЛар,real_estate_agent,https://www.cian.ru/rent/flat/307462332/,11,35,1,42.0,Раменки, Лобачевского,120к1,110000
ID 130880,realtor,https://www.cian.ru/rent/flat/307403515/,12,31,1,37.0,Раменки, Лобачевского,120к1,100000
Юлия Иванова,realtor,https://www.cian.ru/rent/flat/307403418/,40,43,1,36.0,Раменки, Василия Ланового,1к1,90000
ID 96475414,realtor,https://www.cian.ru/rent/flat/307382847/,20,33,1,32.1,Очаково-Матвеевское,Очаковское шоссе,5к1,80000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307362308/,3,17,1,31.7,Очаково-Матвеевское,Очаковское шоссе,5к1,99900
ID 16613,realtor,https://www.cian.ru/rent/flat/307347830/,35,37,1,38.0,Раменки,Мосфильмовская ,98к2,80000
ID 348873,realtor,https://www.cian.ru/rent/flat/307337137/,9,43,1,31.0,Раменки, Василия Ланового,1к2,80000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307320094/,7,30,1,45.1,Раменки, Лобачевского,118к1,89000
Сергей Медведев,realtor,https://www.cian.ru/rent/flat/307316968/,21,28,1,36.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литВ,115000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307773806/,25,43,2,35.0,Раменки, Василия Ланового,1к2,100000
ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307757245/,12,32,2,52.0,Очаково-Матвеевское,Большая Очаковская ,2,90000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756646/,11,17,2,64.0,Очаково-Матвеевское,Очаковское шоссе,5к1,139999
ID 121405426,homeowner,https://www.cian.ru/rent/flat/307756190/,4,33,2,43.5,Очаково-Матвеевское,Очаковское шоссе,5к1.1,105000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307742138/,2,25,2,80.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,150000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307740126/,28,29,2,45.0,Раменки, Лобачевского,120к1,130000
Татьяна Федорова,realtor,https://www.cian.ru/rent/flat/307732302/,12,29,2,55.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,120000
EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/307725026/,8,32,2,52.0,Очаково-Матвеевское,Очаковское шоссе,5к1,120000
Happiness in the house,real_estate_agent,https://www.cian.ru/rent/flat/307718140/,11,17,2,64.0,Очаково-Матвеевское,Очаковское шоссе,5к1,139999
Анна Тюрина,realtor,https://www.cian.ru/rent/flat/307671884/,13,27,2,40.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,100000
GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307670243/,5,18,2,32.0,Очаково-Матвеевское,Очаковское шоссе,5к1,100000
Елена Мурмилова,realtor,https://www.cian.ru/rent/flat/307650578/,2,32,2,55.0,Очаково-Матвеевское,Большая Очаковская ,2,95000
ЦРСН,real_estate_agent,https://www.cian.ru/rent/flat/307648752/,12,17,2,64.0,Очаково-Матвеевское,Очаковское шоссе,5к1,110000
Дмитрий Орлов,realtor,https://www.cian.ru/rent/flat/307641504/,33,33,2,41.0,Очаково-Матвеевское,Очаковское шоссе,5к4,105000
ID 122083980,homeowner,https://www.cian.ru/rent/flat/307637598/,8,32,2,52.0,Очаково-Матвеевское,Очаковское шоссе,5к1,120000
ID 16787738,homeowner,https://www.cian.ru/rent/flat/307636904/,11,17,2,63.6,Очаково-Матвеевское,Очаковское шоссе,5к1,140000
ID 1455994,unknown,https://www.cian.ru/rent/flat/307632000/,7,27,2,60.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,230000
ID 119256697,homeowner,https://www.cian.ru/rent/flat/307614273/,32,33,2,32.0,Очаково-Матвеевское,Очаковское шоссе,5к1,120000
ID 645025,realtor,https://www.cian.ru/rent/flat/307608357/,13,25,2,72.0,Очаково-Матвеевское, Лобачевского,43,93000
Тимур Ярыш,realtor,https://www.cian.ru/rent/flat/307559388/,8,22,2,39.2,Очаково-Матвеевское,Очаковское шоссе,5к1,120000
ID 43077592,real_estate_agent,https://www.cian.ru/rent/flat/307549924/,6,35,2,43.0,Раменки, Лобачевского,120к1,140000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307545922/,7,34,2,51.0,Очаково-Матвеевское,Очаковское шоссе,5к1,130000
ID 93025113,homeowner,https://www.cian.ru/rent/flat/307529712/,10,32,2,51.3,Очаково-Матвеевское,Очаковское шоссе,5к4,80000
ID 13546659,realtor,https://www.cian.ru/rent/flat/307526649/,11,43,2,55.0,Раменки, Василия Ланового,1к1,150000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307521099/,7,34,2,51.0,Очаково-Матвеевское,Очаковское шоссе,5к1,130000
Сергей Бондарев,realtor,https://www.cian.ru/rent/flat/307437710/,3,12,2,40.0,Очаково-Матвеевское,Очаковское шоссе,15К1,60000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307434146/,18,33,2,45.0,Очаково-Матвеевское,Очаковское шоссе,5к4,105000
Юлия Пономарёва,realtor,https://www.cian.ru/rent/flat/307430359/,12,37,2,65.0,Раменки,Мосфильмовская ,98к1,135000
ID 436777,unknown,https://www.cian.ru/rent/flat/307413956/,20,23,2,50.0,Очаково-Матвеевское,Веерная ,1к7,75000
EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307369858/,13,17,2,37.0,Очаково-Матвеевское,Очаковское шоссе,5к1,110000
ID 19660,realtor,https://www.cian.ru/rent/flat/307365744/,5,9,2,51.0,Раменки, Янковского,1к3,115000
Сергей Медведев,realtor,https://www.cian.ru/rent/flat/307313555/,21,28,2,40.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литА,125000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307311628/,7,33,2,55.0,Очаково-Матвеевское,Очаковское шоссе,5к1,130000
ID 895459,unknown,https://www.cian.ru/rent/flat/307230871/,25,30,2,49.6,Раменки, Лобачевского,120к1,140000
EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307209645/,6,31,2,42.0,Раменки, Лобачевского,120к1,140000
ID 57249995,homeowner,https://www.cian.ru/rent/flat/307134140/,7,33,2,51.0,Очаково-Матвеевское,Очаковское шоссе,5к1,130000
Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307094056/,20,25,2,58.2,Очаково-Матвеевское,Аминьевское шоссе,4Дк1,120000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307065808/,23,33,2,54.2,Очаково-Матвеевское,Очаковское шоссе,5к4,129900
Олеся Леонова,realtor,https://www.cian.ru/rent/flat/307055828/,27,33,2,52.0,Очаково-Матвеевское,Очаковское шоссе,5к4,110000
ID 833239,realtor,https://www.cian.ru/rent/flat/306999167/,5,27,2,44.5,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,110000
BDC,real_estate_agent,https://www.cian.ru/rent/flat/306845703/,11,33,2,35.0,Очаково-Матвеевское,Очаковское шоссе,5к4,90000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306826550/,3,22,2,50.0,Очаково-Матвеевское,Аминьевское шоссе,6,130000
RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/306812794/,12,29,2,56.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,130000
ID 118666929,homeowner,https://www.cian.ru/rent/flat/306474165/,3,22,2,48.7,Очаково-Матвеевское,Аминьевское шоссе,6,130000
DOLGOV PRO,real_estate_agent,https://www.cian.ru/rent/flat/306421834/,25,33,2,35.0,Очаково-Матвеевское,Очаковское шоссе,5к1,110000
ID 95471271,homeowner,https://www.cian.ru/rent/flat/306281730/,9,33,2,53.0,Очаково-Матвеевское,Очаковское шоссе,5к4,110000
Арбат Престиж,real_estate_agent,https://www.cian.ru/rent/flat/306262214/,5,27,2,45.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,110000
Мирослава Субботина,realtor,https://www.cian.ru/rent/flat/306241976/,15,38,2,56.9,Раменки,Мосфильмовская ,98к1,140000
На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/306101433/,35,39,2,56.0,Раменки, Лобачевского,120к1,165000
VILLA PRESTIGE,real_estate_agent,https://www.cian.ru/rent/flat/305939168/,13,27,2,70.0,Раменки, Янковского,1к2,270000
ID 54172326,unknown,https://www.cian.ru/rent/flat/305749717/,27,43,2,63.0,Раменки, Василия Ланового,1к2,155000
Тимур Данилян,realtor,https://www.cian.ru/rent/flat/305726874/,2,25,2,52.0,Очаково-Матвеевское,Аминьевское шоссе,6,150000
ID 70164701,homeowner,https://www.cian.ru/rent/flat/305640543/,28,29,2,40.0,Раменки, Лобачевского,120к1,130000
ID 79993647,homeowner,https://www.cian.ru/rent/flat/304688328/,9,33,2,51.0,Очаково-Матвеевское,Очаковское шоссе,5к4,130000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/304468729/,9,33,2,51.0,Очаково-Матвеевское,Очаковское шоссе,5к4,120000
Андрей Кулик,realtor,https://www.cian.ru/rent/flat/304344414/,21,33,2,35.0,Очаково-Матвеевское,Очаковское шоссе,5к4,85000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307799229/,32,33,3,50.0,Очаково-Матвеевское,Очаковское шоссе,5к1,120000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307797158/,2,29,3,80.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,130000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307793345/,2,29,3,80.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,130000
Lucky Realty,real_estate_agent,https://www.cian.ru/rent/flat/307781534/,7,33,3,51.0,Очаково-Матвеевское,Очаковское шоссе,5к1,130000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307762785/,32,33,3,55.0,Очаково-Матвеевское,Очаковское шоссе,5к1,120000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307757437/,22,33,3,52.0,Очаково-Матвеевское,Очаковское шоссе,5к1.1,147000
Александр Краснов,realtor,https://www.cian.ru/rent/flat/307750851/,15,22,3,80.0,Очаково-Матвеевское,Веерная ,46к1,130000
EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/307725027/,22,32,3,89.0,Очаково-Матвеевское,Большая Очаковская ,2,165000
Вера Филатова,realtor,https://www.cian.ru/rent/flat/307705760/,16,17,3,74.0,Очаково-Матвеевское,Озерная ,2к2,130000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307669929/,23,27,3,90.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литА,200000
Ольга Соловьева,realtor,https://www.cian.ru/rent/flat/307643991/,10,20,3,70.0,Раменки, Василия Ланового,3,50000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307636933/,11,17,3,67.0,Очаково-Матвеевское,Очаковское шоссе,5к1,140000
ID 121818189,homeowner,https://www.cian.ru/rent/flat/307631434/,22,32,3,89.0,Очаково-Матвеевское,Большая Очаковская ,2,165000
Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307567071/,8,22,3,90.0,Раменки, Лобачевского,120к1,250000
Руслан Кадиров,realtor,https://www.cian.ru/rent/flat/307563772/,2,43,3,72.0,Раменки, Василия Ланового,1к1,150000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307562284/,11,33,3,85.0,Очаково-Матвеевское,Очаковское шоссе,5к1,180000
ID 12463606,realtor,https://www.cian.ru/rent/flat/307397868/,2,29,3,76.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,130000
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307346174/,1,29,3,60.4,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,100000
Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307336950/,30,35,3,62.5,Раменки,Мосфильмовская ,98к2,200000
НейроДВИЖимость,real_estate_agent,https://www.cian.ru/rent/flat/307324004/,2,27,3,65.3,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,150000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307301308/,13,42,3,79.0,Раменки, Лобачевского,120к1,170000
ID 13385229,homeowner,https://www.cian.ru/rent/flat/307277081/,1,9,3,70.0,Очаково-Матвеевское,Матвеевская ,1,80000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307065808/,23,33,3,54.2,Очаково-Матвеевское,Очаковское шоссе,5к4,129900
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307064826/,22,32,3,89.0,Очаково-Матвеевское,Большая Очаковская ,2,165000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307063607/,8,31,3,51.0,Очаково-Матвеевское,Очаковское шоссе,5к1,120000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307062549/,12,29,3,60.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,130000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306863693/,22,32,3,57.0,Очаково-Матвеевское,Очаковское шоссе,5к1,150000
Диана Товт,realtor,https://www.cian.ru/rent/flat/307624815/,3,5,1,15.0,Нижегородский,2-я Фрезерная ,6к2,40000
МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307653819/,3,5,1,30.0,Кузьминки,Волгоградский проспект,147/5К1,40000
MARNIS-GROUP,real_estate_agent,https://www.cian.ru/rent/flat/290909514/,6,9,1,32.0,Свиблово,проезд Русанова,35,42000
ID 68404017,homeowner,https://www.cian.ru/rent/flat/286146172/,6,9,1,29.0,Нагорный,Ялтинская ,7К1,35000
ID 122045706,homeowner,https://www.cian.ru/rent/flat/307612045/,2,14,1,38.9,Ярославский,Палехская ,21,50000
Леонид Васильев,realtor,https://www.cian.ru/rent/flat/307662317/,8,17,1,38.0,Донской,Загородное шоссе,4К3,40000
ID 72976911,homeowner,https://www.cian.ru/rent/flat/283314600/,8,12,1,34.5,Западное Дегунино, Бусиновская Горка,1К1,44000
ID 45102034,unknown,https://www.cian.ru/rent/flat/248305178/,2,5,1,33.0,Алтуфьевский,Путевой проезд,10,31000
Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/307553502/,2,14,1,42.4,Гольяново,Байкальская ,23,45000
ID 86398099,unknown,https://www.cian.ru/rent/flat/307647005/,1,16,1,38.0,Бабушкинский, Чичерина,8К1,40000
ID 20886249,homeowner,https://www.cian.ru/rent/flat/262682419/,3,5,1,16.0,Кузьминки,Окская ,28К2,35000
Диалог Риэлт,real_estate_agent,https://www.cian.ru/rent/flat/299429592/,17,21,1,37.0,Некрасовка,Рождественская ,29,40000
ID 84553139,unknown,https://www.cian.ru/rent/flat/307149929/,3,5,1,32.0,Рязанский,Яснополянская ,3К1,41000
ID 79753856,homeowner,https://www.cian.ru/rent/flat/307452933/,3,5,1,31.0,Богородское,Бойцовая ,10К9,40000
Real Estate Law Services,real_estate_agent,https://www.cian.ru/rent/flat/279776597/,3,5,1,14.0,Хорошево-Мневники,бульвар Генерала Карбышева,19К5,35000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307581343/,1,5,1,24.0,Таганский, Талалихина,39,50000
ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307489051/,4,9,1,35.0,Кузьминки, Федора Полетаева,32К5,40000
Иван Тетерук,realtor,https://www.cian.ru/rent/flat/307626521/,3,14,1,35.0,Северный,Дмитровское шоссе,165Ек9,35000
Юлия Рубан,realtor,https://www.cian.ru/rent/flat/161853191/,3,5,1,36.0,Нижегородский,Подъемная ,3,43000
ID 401453,realtor,https://www.cian.ru/rent/flat/296609004/,1,17,1,21.0,Люблино,Новороссийская ,25к1с1,40000
Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307630611/,2,5,1,18.0,Северное Измайлово,9-я Парковая ,66К1,35000
Юлия Гуртина,realtor,https://www.cian.ru/rent/flat/296061852/,2,5,1,30.4,Кузьминки, Юных Ленинцев,40К1,45000
ID 92733090,unknown,https://www.cian.ru/rent/flat/307593250/,10,19,1,38.0,Некрасовка,Рождественская ,21к2,40000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307007810/,12,17,2,50.8,Южное Бутово,Варшавское шоссе,282к1,54900
Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/299983236/,8,12,2,40.0,Черемушки,Херсонская ,29,55000
ID 420842,realtor,https://www.cian.ru/rent/flat/307356975/,13,15,1,26.0,,шоссе Остафьевское,12к2,33000
КОНСИНГО,real_estate_agent,https://www.cian.ru/rent/flat/307530418/,22,23,2,54.0,Раменки,Мичуринский проспект,13к3,90000
ID 453149,realtor,https://www.cian.ru/rent/flat/307699808/,5,16,1,35.0,,бульвар Скандинавский,6,45000
First Broker,real_estate_agent,https://www.cian.ru/rent/flat/307661426/,3,5,2,40.2,Черемушки,Херсонская ,36К3,75000
МГЦН - Многофункциональный Городской Центр Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307722906/,5,9,2,44.9,Чертаново Центральное,Днепропетровская ,5К2,55000
Виолетта Ермакова,realtor,https://www.cian.ru/rent/flat/299947604/,3,12,2,50.0,Обручевский, Академика Челомея,8К1,90000
ID 122124967,homeowner,https://www.cian.ru/rent/flat/307682892/,5,9,1,30.3,Чертаново Южное, Газопровод,9К1,55000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307676680/,6,12,1,36.0,Чертаново Южное, Газопровод,3К1,60000
Мегаквартал,real_estate_agent,https://www.cian.ru/rent/flat/307672685/,10,14,1,39.0,Чертаново Южное,Чертановская ,54К1,50000
Алла Горбунова,realtor,https://www.cian.ru/rent/flat/307635811/,3,16,1,39.0,Чертаново Южное,Варшавское шоссе,154К2,40000
ID 106339463,homeowner,https://www.cian.ru/rent/flat/307631909/,2,12,1,31.6,Чертаново Южное,Кировоградская ,44К2,55000
Елена Петряшова,realtor,https://www.cian.ru/rent/flat/307504535/,15,16,1,37.6,Чертаново Южное,Варшавское шоссе,154К2,62000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307495122/,5,25,1,23.5,Чертаново Южное,Варшавское шоссе,141Ак2,64000
ID 89452501,homeowner,https://www.cian.ru/rent/flat/307442070/,21,33,1,43.1,Чертаново Южное,Дорожная ,46к5,70000
ID 97944133,realtor,https://www.cian.ru/rent/flat/307378885/,4,20,1,44.0,Чертаново Южное,Варшавское шоссе,160к2,69000
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307342165/,15,24,1,46.8,Чертаново Южное,Варшавское шоссе,141к10,80000
Century 21,real_estate_agent,https://www.cian.ru/rent/flat/307231481/,17,23,1,43.0,Чертаново Южное, Академика Янгеля,2,95000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307104750/,14,24,1,40.0,Чертаново Южное,Варшавское шоссе,170Ек8,70000
Алиса Полякова,realtor,https://www.cian.ru/rent/flat/307019314/,18,25,1,32.3,Чертаново Южное,Дорожная ,46к5,70000
Парус,real_estate_agent,https://www.cian.ru/rent/flat/306929893/,9,25,1,38.0,Чертаново Южное,Варшавское шоссе,141Ак3,70000
ID 24549,realtor,https://www.cian.ru/rent/flat/306900131/,2,27,1,40.0,Чертаново Южное,Варшавское шоссе,170Ек8,69000
ID 12383335,realtor,https://www.cian.ru/rent/flat/306791496/,9,19,1,43.0,Чертаново Южное,Варшавское шоссе,170Ек7,80000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306111929/,11,33,1,27.2,Чертаново Южное,Дорожная ,46к5,64900
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306030600/,2,32,1,43.0,Чертаново Южное,Дорожная ,46к5,60000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305787468/,11,33,1,27.0,Чертаново Южное,Дорожная ,46к5,62000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305272026/,17,26,1,34.0,Чертаново Южное,Варшавское шоссе,141к7,95000
ID 9708958,unknown,https://www.cian.ru/rent/flat/290582217/,10,17,1,39.0,Чертаново Южное,Варшавское шоссе,152К2,80000
ID 176308,realtor,https://www.cian.ru/rent/flat/288725130/,20,23,1,44.0,Чертаново Южное, Академика Янгеля,2,65000
ID 11956,realtor,https://www.cian.ru/rent/flat/287690876/,4,17,1,39.0,Чертаново Южное,Варшавское шоссе,152К2,60000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307442767/,22,25,1,40.3,Южное Бутово, Поляны,5Ак1,57700
EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307434590/,1,9,1,40.0,Нагатино-Садовники,Каширское шоссе,7К1,60000
Елена Батюк,realtor,https://www.cian.ru/rent/flat/307726561/,12,26,2,56.0,Чертаново Южное,Варшавское шоссе,170Ек11,78000
ИскИн,real_estate_agent,https://www.cian.ru/rent/flat/307657352/,33,33,2,40.0,Чертаново Южное,Дорожная ,46к5,65000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307656479/,7,26,2,57.0,Чертаново Южное,Варшавское шоссе,141к12,115000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307656317/,15,25,2,70.0,Чертаново Южное,Варшавское шоссе,141к10,100000
Александр Владимирович Михайловский,realtor,https://www.cian.ru/rent/flat/307649376/,9,26,2,60.0,Чертаново Южное,Варшавское шоссе,170Ек1,100000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307639924/,15,25,2,68.0,Чертаново Южное,Варшавское шоссе,141к10,100000
ID 13635289,homeowner,https://www.cian.ru/rent/flat/307636874/,7,26,2,57.0,Чертаново Южное,Варшавское шоссе,141к12,115000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307613183/,2,17,2,54.0,Чертаново Южное,Варшавское шоссе,152К3,75000
ID 208669,realtor,https://www.cian.ru/rent/flat/307612676/,10,13,2,47.0,Чертаново Южное,Варшавское шоссе,141к11,75000
Денис Иванченко,realtor,https://www.cian.ru/rent/flat/307608017/,17,19,2,60.0,Чертаново Южное,Варшавское шоссе,170Ек9,105000
Гор Караханян,realtor,https://www.cian.ru/rent/flat/307414193/,15,22,2,70.0,Чертаново Южное, Академика Янгеля,1к1,110000
ID 63321,realtor,https://www.cian.ru/rent/flat/307379475/,3,12,2,45.0,Чертаново Южное,Кировоградская ,44К2,62000
EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307377008/,6,20,2,36.1,Чертаново Южное,Дорожная ,46к6,76000
Евгений Сопов,realtor,https://www.cian.ru/rent/flat/307360898/,10,26,2,57.0,Чертаново Южное,Варшавское шоссе,170Ек8,80000
Елена Соболева,realtor,https://www.cian.ru/rent/flat/307345553/,10,33,2,37.0,Чертаново Южное,Дорожная ,46к5,80000
ID 529,realtor,https://www.cian.ru/rent/flat/307302583/,9,9,2,47.0,Чертаново Южное,Россошанская ,3К2,65000
Елена Назарова,realtor,https://www.cian.ru/rent/flat/307111693/,12,17,2,54.0,Чертаново Южное,Россошанская ,2К5,65000
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/306773041/,5,33,2,33.0,Чертаново Южное,Дорожная ,46к5,64000
Московский Дом,real_estate_agent,https://www.cian.ru/rent/flat/305154793/,4,14,2,47.1,Чертаново Южное,Чертановская ,63К2,50000
ID 1320592,realtor,https://www.cian.ru/rent/flat/301598627/,9,19,2,60.0,Чертаново Южное,Варшавское шоссе,168,117000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307611527/,4,16,2,42.0,Южное Бутово,Краснолиманская ,29,60000
Майя Борисовна Мальсагова,realtor,https://www.cian.ru/rent/flat/307553142/,18,26,2,38.0,Чертаново Южное,Варшавское шоссе,141Ак1,65000
RainbowEstate,real_estate_agent,https://www.cian.ru/rent/flat/307588134/,3,9,2,56.0,Чертаново Центральное,Днепропетровская ,5К2,60000
ID 12463149,realtor,https://www.cian.ru/rent/flat/307720971/,12,12,3,63.0,Чертаново Южное,Кировоградская ,42К1,67000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307707147/,8,22,3,85.0,Чертаново Южное, Академика Янгеля,3к2,120000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307659401/,6,19,3,80.0,Чертаново Южное,Варшавское шоссе,170Ек6,100000
Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307654915/,18,22,3,93.0,Северное Бутово,Старокачаловская ,4,120000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307637048/,7,26,3,63.0,Чертаново Южное,Варшавское шоссе,141к12,115000
Екатерина Орлова,realtor,https://www.cian.ru/rent/flat/307601085/,5,26,3,90.0,Чертаново Южное,Варшавское шоссе,141Ак2,150000
ID 93022700,homeowner,https://www.cian.ru/rent/flat/307531639/,21,33,3,51.0,Чертаново Южное,Дорожная ,46к5,100000
ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/288040805/,9,19,3,80.0,Чертаново Южное,Варшавское шоссе,170Ек5,100000
ID 13282576,homeowner,https://www.cian.ru/rent/flat/227508067/,8,22,3,82.0,Чертаново Южное, Академика Янгеля,3к2,120000
ID 121892460,homeowner,https://www.cian.ru/rent/flat/307458363/,20,25,2,46.0,Хорошевский, Маргелова,3к1,120000
